"ID#","Título","Descripción","Precondiciones","Datos de Prueba","Pasos","Resultado Esperado","Status","Prioridad","Etiquetas (Tipos de Pruebas)","Evidencia","Diseñado por","Ejecutado por","Fecha de Ejecución","Resultado Obtenido","Comentarios","Módulo"
"TC-CLASSES-04","Inscripción exitosa a una clase con cupo disponible","Verifica que un socio pueda inscribirse a una clase con cupo disponible y que la inscripción quede persistida en base de datos.","Existe una clase activa con cupo disponible; el usuario es socio con perfil válido.","Clase con cupo_maximo=20 y cupo disponible; socio con perfil válido ejecutando la inscripción.","1) El socio se inscribe a la clase. 2) Se verifica la respuesta de la API. 3) Se consulta la base de datos para confirmar el registro de inscripción.","La inscripción se crea con estado 'no en espera', queda persistida en la base de datos asociada al socio y la clase.","PASS","Alta","#Funcional #CRUD #Regresión","test_inscribir_flow.py::test_inscribir_cupo_disponible_201; test_classes_services.py::test_inscribir_exitoso, test_inscribir_crea_registro_en_db","Gisele Lavisse","CI/pytest local","14/09/2026","La inscripción se crea con estado 'no en espera', queda persistida en la base de datos asociada al socio y la clase.","","classes"
"TC-CLASSES-05","Lista de espera cuando el cupo principal está lleno","Valida que una inscripción se marque como 'en espera' cuando el cupo principal está lleno pero hay lugar en la espera, y que se rechace cuando ambos están completos.","Clase con cupo máximo reducido y límite de lista de espera configurado; ya existen inscriptos ocupando el cupo principal (y opcionalmente la espera).","Clase con cupo_maximo=1 y lista_espera_max=1 (o 2); un socio ya ocupa el cupo principal; segundo y tercer socio intentando inscribirse.","1) Un nuevo socio intenta inscribirse cuando el cupo principal está lleno pero hay lugar en espera. 2) Otro socio intenta inscribirse cuando cupo y espera están ambos completos.","En el primer caso la inscripción se crea marcada 'en espera'; en el segundo caso se rechaza con error indicando que las plazas están completas.","PASS","Alta","#Funcional #Regresión","test_inscribir_flow.py::test_inscribir_cupo_lleno_en_espera_201, test_inscribir_cupo_y_espera_llenos_400; test_classes_services.py::test_inscribir_en_espera_cuando_cupo_lleno, test_inscribir_raise_cuando_todo_lleno","Jimena Gallegillo","CI/pytest local","14/09/2026","En el primer caso la inscripción se crea marcada 'en espera'; en el segundo caso se rechaza con error indicando que las plazas están completas.","","classes"
"TC-CLASSES-06","Rechazo de inscripciones inválidas o no autorizadas","Verifica que se rechace la doble inscripción de un mismo socio, el intento de un usuario sin perfil de socio, y el de un visitante sin sesión.","Un socio ya tiene una inscripción vigente en una clase; existe un administrador sin perfil de socio; existe una clase pública.","Socio ya inscripto en la clase (segunda solicitud de inscripción); usuario administrador sin perfil de Socio asociado; visitante sin token.","1) El mismo socio intenta inscribirse de nuevo a la misma clase. 2) Un administrador (sin perfil de socio) intenta inscribirse. 3) Un visitante sin sesión intenta inscribirse.","Se rechaza la doble inscripción con mensaje de 'ya inscripto'; se rechaza al usuario sin perfil de socio con 403; se rechaza al no autenticado con 401.","PASS","Alta","#Funcional #Regresión","test_inscribir_flow.py::test_inscribir_ya_inscripto_400, test_inscribir_usuario_sin_perfil_socio_403, test_inscribir_unauthenticated_401; test_classes_services.py::test_inscribir_raise_si_ya_inscripto","Magali Bechis","CI/pytest local","14/09/2026","Se rechaza la doble inscripción con mensaje de 'ya inscripto'; se rechaza al usuario sin perfil de socio con 403; se rechaza al no autenticado con 401.","","classes"
"TC-CLASSES-07","Cancelación de reserva con promoción automática de lista de espera","Valida que un socio pueda cancelar su propia inscripción, liberando el cupo, y que el primer socio en lista de espera sea promovido automáticamente.","El socio tiene (o no) una inscripción activa en una clase futura fuera de la ventana de cancelación; puede existir otro socio en lista de espera.","Inscripción activa de un socio en clase futura fuera de la ventana de cancelación; segundo socio en lista de espera para verificar la promoción automática.","1) El socio cancela su propia inscripción. 2) Se verifica que la inscripción ya no existe en base de datos. 3) Con lista de espera, se cancela la reserva del titular y se observa la promoción automática. 4) Un socio sin inscripción intenta cancelar.","La cancelación exitosa elimina el registro y libera el cupo; si hay lista de espera, el primer socio en espera es promovido automáticamente; cancelar sin reserva previa devuelve error 400.","PASS","Alta","#Funcional #Regresión","test_cancel_flow.py::test_socio_cancels_own_reservation_successfully, test_cancel_promotes_first_wait_listed_socio, test_cancel_without_reservation_returns_400","Gisele Lavisse","CI/pytest local","14/09/2026","La cancelación exitosa elimina el registro y libera el cupo; si hay lista de espera, el primer socio en espera es promovido automáticamente; cancelar sin reserva previa devuelve error 400.","","classes"
"TC-CLASSES-08","Bloqueo de cancelación dentro de la ventana de corte","Verifica que no se permita cancelar una inscripción cuando la clase está dentro del margen mínimo de cancelación configurado.","Clase programada dentro del margen mínimo de cancelación configurado (ej. comienza en 1 hora con un corte de 48 horas); el socio tiene una inscripción activa.","Clase que comienza en 1 hora con ventana de corte de cancelación configurada en 48 horas; socio con inscripción activa intentando cancelar.","1) El socio intenta cancelar su inscripción estando dentro de la ventana de corte.","La cancelación se rechaza con error 400 indicando que no se respeta el margen permitido; la inscripción permanece intacta.","PASS","Alta","#Funcional #Regresión","test_cancel_flow.py::test_cancel_inside_cutoff_window_returns_400","Jimena Gallegillo","CI/pytest local","14/09/2026","La cancelación se rechaza con error 400 indicando que no se respeta el margen permitido; la inscripción permanece intacta.","","classes"
"TC-CLASSES-09","Listado de inscripciones y registro de asistencia por rol","Valida que administrador y recepcionista puedan listar inscripciones y que recepcionista pueda marcar asistencia, mientras que el socio queda restringido.","Existe una clase con al menos un socio inscripto; usuarios con roles administrador, recepcionista y socio disponibles.","Clase con al menos un socio inscripto; roles admin, recepcionista y socio ejecutando GET/PATCH sobre el listado de inscripciones y la marca de asistencia.","1) Administrador y recepcionista listan las inscripciones de todas las clases. 2) El socio intenta listar inscripciones. 3) Recepcionista marca la asistencia de un socio inscripto. 4) El socio intenta marcar su propia asistencia. 5) Un visitante sin sesión intenta listar inscripciones.","Administrador y recepcionista acceden al listado (200); el socio recibe 403; recepcionista puede marcar asistencia y el cambio persiste en base de datos; el socio recibe 403 al marcarla; sin autenticación responde 401.","PASS","Alta","#Funcional #Regresión","test_inscripciones_views.py::test_list_inscripciones_admin_200, test_list_inscripciones_recepcionista_200, test_list_inscripciones_socio_403, test_marcar_asistencia_recep_200, test_marcar_asistencia_socio_403, test_unauthenticated_401","Magali Bechis","CI/pytest local","14/09/2026","Administrador y recepcionista acceden al listado (200); el socio recibe 403; recepcionista puede marcar asistencia y el cambio persiste en base de datos; el socio recibe 403 al marcarla; sin autenticación responde 401.","","classes"
"TC-COMMON-01","Logging estructurado en formato JSON","Verifica que la configuración de logging por defecto emita registros en JSON válido con los campos esperados, dando soporte de observabilidad transversal a todas las historias de usuario.","Aplicación configurada con el logging por defecto (sin overrides de entorno).","Configuración de logging por defecto (sin overrides); log de prueba emitido con nivel WARNING y captura de la salida del handler de consola.","1) Revisar la configuración de logging de la app. 2) Emitir un registro de log de prueba con nivel WARNING. 3) Inspeccionar la salida generada por el handler de consola.","La salida de logs es JSON válido y parseable, con campos level, message, name y timestamp presentes; el formatter por defecto es el JSON formatter.","PASS","Media","#Funcional #Observabilidad #Regresión","test_observability.py::test_default_formatter_is_json, test_console_handler_uses_json_formatter_by_default, test_json_formatter_emits_valid_json_line","Gisele Lavisse","CI/pytest local","14/09/2026","La salida de logs es JSON válido y parseable, con campos level, message, name y timestamp presentes; el formatter por defecto es el JSON formatter.","","common"
"TC-COMMON-02","Cobertura de roles en el script de pruebas de carga","Valida que el script de load testing (Locust) declare clases de usuario para los tres roles clave del negocio, en soporte de RNF01/RNF06.","Existe el script de load testing (locustfile) del proyecto.","Archivo backend/loadtests/locustfile.py con clases de usuario Locust definidas para Socio, Recepcionista y Admin.","1) Analizar el archivo de escenarios de carga. 2) Verificar las clases de usuario definidas.","El script contiene definiciones para los tres roles clave del negocio: Socio, Recepcionista y Admin, garantizando que las pruebas de carga simulan a todos los perfiles reales.","PASS","Media","#No-Funcional #Regresión","test_observability.py::test_locustfile_declares_expected_user_classes","Jimena Gallegillo","CI/pytest local","14/09/2026","El script contiene definiciones para los tres roles clave del negocio: Socio, Recepcionista y Admin, garantizando que las pruebas de carga simulan a todos los perfiles reales.","","common"
"TC-COMMON-03","Envío único del email de bienvenida al alta de un socio","Verifica que crear un socio dispare exactamente un email de bienvenida, y que actualizar sus datos no lo reenvíe.","Backend de email configurado en modo test; no hay socio previamente creado con el email de prueba.","Backend de email en modo test (locmem); creación de Socio con nombre y apellido; verificación de la bandeja de salida tras crear y tras actualizar el teléfono.","1) Crear un usuario y su perfil de Socio con nombre y apellido. 2) Verificar la bandeja de salida de emails. 3) Actualizar un dato del socio (ej. teléfono) y volver a verificar la bandeja de salida.","Al crear el socio se envía exactamente un email de bienvenida, dirigido a su email, con asunto que contiene 'Bienvenido' y el nombre del socio en el cuerpo; al actualizar datos NO se reenvía el email.","PASS","Media","#Funcional #Regresión","test_welcome_signal.py::test_creating_socio_enqueues_welcome_email, test_updating_socio_does_not_resend_welcome","Magali Bechis","CI/pytest local","14/09/2026","Al crear el socio se envía exactamente un email de bienvenida, dirigido a su email, con asunto que contiene 'Bienvenido' y el nombre del socio en el cuerpo; al actualizar datos NO se reenvía el email.","","common"
"TC-COMMON-04","Auditoría transversal de operaciones en MongoDB","Valida que las operaciones de creación, actualización y eliminación sobre entidades clave queden registradas fielmente en la colección audit_logs, incluyendo montos decimales sin pérdida de precisión.","Colección audit_logs en MongoDB vacía. Existen datos base (socio, plan, clase, pago).","Colección audit_logs vacía; creación de Socio, cambio de estado de una Membresía, eliminación de una Clase y creación de un Pago con monto decimal (ej. 1500.00).","1) Crear un Socio y consultar el último registro de auditoría. 2) Modificar el estado de una Membresía existente y consultar la auditoría. 3) Eliminar una Clase y consultar la auditoría. 4) Crear un Pago con monto decimal y consultar la auditoría.","Cada operación (crear, actualizar, eliminar) queda registrada en audit_logs con la acción correcta y un snapshot fiel de los datos relevantes, incluyendo el monto decimal serializado como string sin pérdida de precisión.","PASS","Alta","#Funcional #Integración #Regresión","test_audit.py::test_create_socio_writes_audit_create, test_update_membresia_writes_audit_update, test_delete_clase_writes_audit_delete, test_create_pago_writes_audit_with_serialized_decimal","Gisele Lavisse","CI/pytest local","14/09/2026","Cada operación (crear, actualizar, eliminar) queda registrada en audit_logs con la acción correcta y un snapshot fiel de los datos relevantes, incluyendo el monto decimal serializado como string sin pérdida de precisión.","","common"
"TC-COMMON-05","Auditoría de acciones de sistema e índices TTL de retención","Verifica que las acciones sin un usuario/request activo se auditen como 'system', y que el comando de creación de índices Mongo sea idempotente y configure la retención TTL de 90 días.","Colección audit_logs vacía; comando de creación de índices de Mongo disponible.","Acción disparada fuera de un ciclo request/response (ej. tarea en background); comando de gestión de índices Mongo (TTL de 90 días sobre audit_logs y qr_history) ejecutado dos veces consecutivas.","1) Ejecutar una acción que dispare auditoría fuera de un ciclo request/response (ej. proceso en background). 2) Ejecutar el comando de gestión que crea los índices de Mongo dos veces seguidas.","El registro de auditoría marca actor_rol como 'system' y actor_id como nulo cuando no hay usuario/request activo; el comando de índices es idempotente y deja configurados los índices TTL de audit_logs y qr_history (expirando a los 90 días).","PASS","Media","#Funcional #Integración #Regresión","test_audit.py::test_actor_is_system_when_no_request_active, test_command_runs_and_creates_expected_indexes","Jimena Gallegillo","CI/pytest local","14/09/2026","El registro de auditoría marca actor_rol como 'system' y actor_id como nulo cuando no hay usuario/request activo; el comando de índices es idempotente y deja configurados los índices TTL de audit_logs y qr_history (expirando a los 90 días).","","common"
"TC-MEMBERS-01","Alta de socio con número de socio autogenerado","Verifica que un administrador pueda dar de alta un socio con datos válidos, asignándose automáticamente un número de socio único con formato S-#####.","Usuario autenticado con rol administrador; existe un usuario destino sin socio asociado.","Usuario admin autenticado; payload con DNI (ej. '99887766'), nombre, apellido y teléfono válidos; verificación de numero_socio contra el patrón ^S-\d{5}$.","1) Iniciar sesión como administrador. 2) Enviar formulario de alta de socio con DNI, nombre, apellido y teléfono válidos. 3) Consultar el registro creado en base de datos.","El socio se crea con estado 'activo', se le asigna automáticamente un número de socio con formato S-##### único, y la fecha de baja queda vacía y observaciones en blanco por defecto.","PASS","Alta","#Funcional #CRUD #Regresión","test_socios_views.py::test_create_socio_admin_201; test_socios_models.py::test_numero_socio_auto_assigned_on_save, test_numero_socio_not_overridden_if_already_set, test_estado_defaults_to_activo, test_fecha_baja_defaults_none, test_observaciones_defaults_blank","Magali Bechis","CI/pytest local","14/09/2026","El socio se crea con estado 'activo', se le asigna automáticamente un número de socio con formato S-##### único, y la fecha de baja queda vacía y observaciones en blanco por defecto.","","members"
"TC-MEMBERS-02","Rechazo de alta de socio con DNI duplicado","Valida que el sistema impida crear un socio con un DNI ya registrado por otro socio.","Ya existe un socio registrado con un DNI determinado.","Socio ya existente con DNI '11223344'; intento de alta de un segundo socio reutilizando el mismo DNI.","1) Iniciar sesión como administrador. 2) Intentar crear un nuevo socio usando el mismo DNI ya registrado.","El sistema rechaza el alta con error de validación indicando el campo DNI como causa; no se crea un registro duplicado.","PASS","Alta","#Funcional #Regresión","test_socios_views.py::test_create_socio_duplicate_dni_400","Gisele Lavisse","CI/pytest local","14/09/2026","El sistema rechaza el alta con error de validación indicando el campo DNI como causa; no se crea un registro duplicado.","","members"
"TC-MEMBERS-03","Listado y detalle de socios para administrador y recepcionista","Verifica que administrador y recepcionista puedan listar y consultar el detalle de socios, y que un ID inexistente devuelva 'no encontrado'.","Existen socios cargados; usuarios con rol administrador y recepcionista disponibles.","Socios ya cargados; roles admin y recepcionista consultando el listado y el detalle de un socio; consulta de un ID inexistente (ej. 99999).","1) Iniciar sesión como administrador y listar socios. 2) Repetir con recepcionista. 3) Consultar el detalle de un socio existente. 4) Consultar un socio inexistente.","Ambos roles pueden listar y ver el detalle con los campos esperados (id, número de socio, nombre, apellido, DNI, estado); consultar un ID inexistente devuelve 'no encontrado'.","PASS","Alta","#Funcional #Regresión","test_socios_views.py::test_list_socios_admin_200, test_list_socios_recep_200, test_retrieve_socio_200, test_retrieve_nonexistent_404","Jimena Gallegillo","CI/pytest local","14/09/2026","Ambos roles pueden listar y ver el detalle con los campos esperados (id, número de socio, nombre, apellido, DNI, estado); consultar un ID inexistente devuelve 'no encontrado'.","","members"
"TC-MEMBERS-04","Control de autenticación y rol sobre endpoints de socios","Verifica que los endpoints de gestión de socios rechacen solicitudes sin autenticación y las de usuarios con rol 'socio' (no administrativo).","Endpoints de socios disponibles; existe un usuario con rol 'socio' (no administrativo).","Endpoints de socios sin token de autenticación y con token de un usuario de rol 'socio' (no administrativo) sobre listar/crear/dar de baja.","1) Intentar listar/crear/dar de baja socios sin iniciar sesión. 2) Repetir las mismas acciones autenticado con rol 'socio'.","Sin sesión, el sistema responde 'no autorizado' (401); con rol socio, responde 'prohibido' (403) en todos los casos.","PASS","Crítica","#Seguridad #Funcional #Regresión","test_socios_views.py::test_unauthenticated_list_401, test_socio_role_list_403, test_socio_role_create_403, test_dar_baja_unauthenticated_401, test_dar_baja_socio_role_403","Magali Bechis","CI/pytest local","14/09/2026","Sin sesión, el sistema responde 'no autorizado' (401); con rol socio, responde 'prohibido' (403) en todos los casos.","","members"
"TC-MEMBERS-05","Protección del campo número de socio ante edición","Valida que se puedan editar campos como observaciones, pero que el número de socio permanezca inmutable incluso si se envía un valor distinto.","Existe un socio registrado con un número de socio ya asignado.","Socio con numero_socio ya asignado (ej. S-00042); PATCH que solo modifica observaciones y PATCH que intenta modificar numero_socio con otro valor.","1) Iniciar sesión como administrador. 2) Editar solo el campo observaciones. 3) Intentar editar el número de socio enviando un valor distinto.","Las observaciones se actualizan correctamente; el número de socio permanece sin cambios pese al intento de modificarlo (campo protegido).","PASS","Alta","#Funcional #Regresión","test_socios_views.py::test_partial_update_observaciones_200, test_partial_update_numero_socio_ignored","Gisele Lavisse","CI/pytest local","14/09/2026","Las observaciones se actualizan correctamente; el número de socio permanece sin cambios pese al intento de modificarlo (campo protegido).","","members"
